,YelpID,Name,Latitude,Longitude,Address,Rating,Reviews,name_lower,FacilityCategory,BusinessName,FullAddress,AddrNum,StreetName,StreetType,PostDir,City,ZipCode,YearOfInspection,InspectionScore,business_lower
0,G9KdODINirmdSuYaBfBppA,Butcher & The Boar,44.974777,-93.279792,"1121 Hennepin Ave, Minneapolis 55403",4.5,1611,butcher & the boar,RESTAURANT,BUTCHER & THE BOAR,1121 HENNEPIN AVE,1121.0,HENNEPIN,AVE,,Minneapolis,55403.0,2019,100,butcher & the boar
1,zv_XJAQr9D3PNR5eHYhC5w,Bar La Grassa,44.98954,-93.278594,"800 Washington Ave N, Minneapolis 55401",4.5,1246,bar la grassa,RESTAURANT,BAR LA GRASSA,800 WASHINGTON AVE N #102,800.0,WASHINGTON,AVE,N,Minneapolis,55401.0,2018,94,bar la grassa
2,6vaAze9Fxuco249L3BhEdQ,112 Eatery,44.98267,-93.2716,"112 N 3rd St, Minneapolis 55401",4.5,1163,112 eatery,RESTAURANT,112 EATERY,112 3RD ST N,112.0,3RD,ST,N,Minneapolis,55401.0,2018,100,112 eatery
3,5olLs-K-_k_rWrrNLjvy0w,Spoon and Stable,44.9854892917291,-93.2695363613423,"211 N 1st St, Minneapolis 55401",4.5,891,spoon and stable,RESTAURANT,SPOON AND STABLE,211 1ST ST N #150,211.0,1ST,ST,N,Minneapolis,55401.0,2019,100,spoon and stable
4,iH3FcZ4Xchx3s7fgIINaYg,Pizzeria Lola,44.9018519553182,-93.3186280826087,"5557 Xerxes Ave S, Minneapolis 55410",4.5,1016,pizzeria lola,RESTAURANT,PIZZERIA LOLA,5557 XERXES AVE S,5557.0,XERXES,AVE,S,Minneapolis,55410.0,2019,96,pizzeria lola
5,Dx52kVp9UBzI4LuL-J4TWA,Brasa Rotisserie,44.989479,-93.251249,"600 E Hennepin Ave, Minneapolis 55414",4.5,970,brasa rotisserie,RESTAURANT,BRASA ROTISSERIE,600 HENNEPIN AVE E,600.0,HENNEPIN,AVE,E,Minneapolis,55414.0,2019,92,brasa rotisserie
6,l7mNzyV3pOZ3m87jRY6J7A,Hola Arepa,44.939423,-93.277406,"3501 Nicollet Ave, Minneapolis 55408",4.5,779,hola arepa,RESTAURANT,HOLA AREPA,3501 NICOLLET AVE,3501.0,NICOLLET,AVE,,Minneapolis,55408.0,2019,98,hola arepa
7,G7iXpVSRuXzCbD2daJ_JYQ,Surly Brewing,44.9732287,-93.2097663,"520 Malcolm Ave SE, Minneapolis 55414",4.0,1110,surly brewing,FOOD TRUCK,SURLY BREWING,520 MALCOLM AVE SE,520.0,MALCOLM,AVE,SE,Minneapolis,55414.0,2019,100,surly brewing
8,ErvVFzAYVArZS7gcWgY0rg,Matt's Bar,44.9394683837891,-93.247428894043,"3500 Cedar Ave S, Minneapolis 55407",4.0,1535,matt's bar,RESTAURANT,MATT'S BAR,3500 CEDAR AVE S,3500.0,CEDAR,AVE,S,Minneapolis,55407.0,2019,98,matt's bar
9,51E_-4s1wheqka5xtGAaNw,Martina,44.9243,-93.31523,"4312 S Upton Ave, Minneapolis 55410",4.5,470,martina,RESTAURANT,MARTINA,4312 UPTON AVE S,4312.0,UPTON,AVE,S,Minneapolis,55410.0,2018,96,martina
