,Yelp,Google
0,Butcher & The Boar,Butcher & The Boar
1,Bar La Grassa,
2,112 Eatery,
3,George & The Dragon,
4,Spoon and Stable,
5,Hell's Kitchen,
6,Pizzeria Lola,
7,Red Cow - Minneapolis,
8,Brasa Rotisserie,
9,Zelo,
10,Hola Arepa,
11,Surly Brewing,
12,Matt's Bar,
13,Chimborazo,
14,Martina,
15,Young Joni,
16,Lotus Restaurant,
17,Revival,
18,Red Cow,
19,Quang Restaurant,
20,My Huong Kitchen,
21,Travail Kitchen & Amusements,
22,Manny's Steakhouse,
23,Broders' Pasta Bar,
24,Red Rabbit,
25,Cafe Lurcat,
26,The Capital Grille,
27,Alma,
28,Fogo de Chão Brazilian Steakhouse,
29,Victor's 1959 Cafe,
30,Smack Shack,
31,Birchwood Cafe,
32,Lake & Irving,
33,The Bachelor Farmer,
34,Zen Box Izakaya,
35,Hen House Eatery,
36,Al's Breakfast,
37,Town Talk Diner & Gastropub,
38,World Street Kitchen,
39,Burch Steak and Pizza Bar,
40,Patisserie 46,
41,The Lowry,
42,The Anchor Fish & Chips,
43,Our Kitchen,
44,Tilia,
45,The Kenwood,
46,Gorkha Palace,
47,Kramarczuk's Sausage Company,
48,French Meadow Bakery & Cafe,
49,Black Sheep Coal Fired Pizza,
50,Wakame Sushi & Asian Bistro,
51,El Taco Riendo,
52,Brit's Pub,
53,Pizza Luce,
54,Lu's Sandwiches,
55,HAI HAI,
56,Murray's,
57,Maya Cuisine,
58,Rinata,
59,Parlour,
60,The Freehouse,
61,Punch Neapolitan Pizza - Lake Calhoun,
62,Hot Plate,
63,Icehouse,
64,Hazel's Northeast,
65,Hi-Lo Diner,
66,Himalayan Restaurant,
67,Chino Latino,
68,Lands End Pasty Company,
69,The Lowbrow,
70,Clancey's Meats and Fish,
71,Eggy's - Minneapolis,
72,Barbette,
73,Muddy Waters,
74,Trieste Café,
75,Colita,
76,Rincón 38,
77,Element Wood Fire Pizza,
78,Grand Café,
79,Eli's Food & Cocktails,
80,The Herbivorous Butcher,
81,Galactic Pizza,
82,Moroccan Flavors,
83,Eat Street Social,
84,Kbop Korean Bistro,
85,PinKU Japanese Street Food,
86,Yum! Kitchen and Bakery,
87,Psycho Suzi's Motor Lounge,
88,The Lynhall,
89,Punch Neapolitan Pizza - Northeast,
90,Stella's Fish Cafe & Prestige Oyster Bar,
91,Sushi Takatsu,
92,Firelake Grill House & Cocktail Bar,
93,The Copper Hen,
94,Cave Vin,
95,The Oceanaire Seafood Room,
96,Pimento Jamaican Kitchen,
97,Common Roots Cafe,
98,Band Box Diner,
99,Modern Times Café,
100,Borough,
101,Pho 79,
102,Red Cow Uptown,
103,FireBox Deli,
104,Allie's Deli & Catering,
105,Peninsula Malaysian Cuisine,
106,Red Stag Supperclub,
107,Holy Land,
108,ie Italian Eatery,
109,Ramen Kazama,
110,Afro Deli,
111,Kyatchi,
112,Tiny Diner,
113,Sun Street Breads,
114,4 Bells,
115,Nighthawks Diner & Bar,
116,Boludo,
117,Day Block Brewing Company - Pizza Place & Brewpub,
118,Sen Yai Sen Lek,
119,Red Wagon Pizza Co,
120,Kieran's Irish Pub,
121,Nightingale,
122,Penny's Coffee,
123,Ruth's Chris Steak House,
124,Keys at the Foshay,
125,Smoke In The Pit,
126,Tenant Restaurant,
127,Hard Times Café,
128,Lyn 65 Kitchen & Bar,
129,The Sample Room,
130,India Palace Uptown,
131,Masu Sushi & Robata,
132,5-8 club,
133,Ike's Food & Cocktails,
134,Moto-i Ramen and Sake House,
135,Bar Luchador,
136,The 1029 Bar,
137,UP Coffee Roasters,
138,Mojo Coffee Gallery,
139,Shuang Cheng Restaurant,
140,Uptown Diner,
141,Costa Blanca Bistro,
142,Wilde Café & Spirits,
143,Barrio,
144,Wally's Falafel and Hummus,
145,Amazing Thailand,
146,Pizza Luce,
147,J.D. Hoyt's,
148,Buster's on 28th,
149,Fika,
150,Minneapolis Town Hall Brewery,
151,Northeast Social,
152,Mercury Dining Room and Rail,
153,Spitz,
154,Jasmine Deli,
155,Cafe Ena,
156,Breaking Bread Café,
157,Gandhi Mahal,
158,Lepot Chinese Hotpot,
159,Darbar India Grill,
160,Seed Cafe,
161,Pho Tau Bay,
162,Longfellow Grill,
163,Kado No Mise,
164,Blue Door Pub Longfellow,
165,St Genevieve,
166,Aster Cafe,
167,Punch Neapolitan Pizza - Stadium Village,
168,Ichiddo Ramen,
169,Kimchi Tofu House,
170,Pagoda,
171,Namaste Café,
172,Jax Café,
173,Fat Lorenzo's,
174,Keefer Court Bakery & Café,
175,Waffle Bar,
176,Bryant Lake Bowl,
177,Moose & Sadie's,
178,Taqueria Los Ocampo - Chicago & Lake,
179,Guavas Cuban Cafe,
180,May Day Cafe,
181,The Cove,
182,The Sonder Shaker,
183,Khao Hom Thai,
184,Football Pizza,
185,Christos Greek Restaurant,
186,Broders Cucina Italiana,
187,Dakota,
188,Republic,
189,Merlins Rest Pub,
190,Zakia Deli,
191,Olive & Lamb,
192,Urban Eatery,
193,Taco Libre,
194,Runyon's,
195,Kafe 421,
196,Mesa Pizza,
197,Fig + Farro,
198,Sushi Train,
199,Cafe Racer Kitchen,
200,Malabari Kitchen,
201,Emily's Lebanese Deli,
202,Maria's Café,
203,Ideal Diner,
204,Harriet Brasserie,
205,Zumbro Cafe,
206,Centro,
207,The News Room,
208,Pizza Luce,
209,Butter Bakery Café,
210,Cuppa Java,
211,Berry Sweet Kitchen,
212,Terzo,
213,Vellee Deli,
214,Mercy Bar & Dining Room,
215,Wise Acre Eatery,
216,Town Hall Tap,
217,Manny's Tortas,
218,Good Day Café,
219,Fuji Ya,
220,Blue Door Pub Como Ave,
221,The Wienery,
222,Raising Cane's Chicken Fingers,
223,Hong Kong Noodle,
224,The Mill Northeast,
225,Boiler Room Coffee,
226,Lago Tacos - Uptown,
227,The Coffee Shop NE,
228,P.S. Steak,
229,Tenka Ramen,
230,Jasmine 26,
231,Momo Sushi,
232,Stanley's Northeast Bar Room,
233,Cuzzy's Bar & Grill,
234,Dilla's,
235,Safari Express,
236,Tea House Chinese Restaurant,
237,Taqueria La Hacienda,
238,CRISP & GREEN,
239,Erte & The Peacock Lounge,
240,Spyhouse,
241,Liquor Lyle's,
242,Sonora Grill,
243,Blaze Fast-Fire'd Pizza,
244,Prima Pasta Salads Panini,
245,Bep Eatery,
246,Tasty Pot - Minneapolis,
247,Cosmos,
248,Fireroast Coffee and Wine,
249,Pat's Tap,
250,Northern Coffeeworks,
251,Ariana Kabob & Gyro Bistro,
252,Sassy Spoon,
253,Origami Uptown,
254,Fairgrounds Coffee and Tea,
255,Parallel,
256,Taco Cat,
257,Taco Taxi,
258,Nolo's Kitchen & Bar,
259,Naf Naf Grill,
260,Eli's East Food & Cocktails,
261,HopCat,
262,Seward Cafe,
263,La Fresca,
264,Sphynx Café,
265,Sea Change,
266,Bardo,
267,The Bachelor Farmer Cafe,
268,Tao Foods,
269,Burger Jones,
270,My Burger,
271,Parkway Pizza Longfellow,
272,Hammer & Sickle,
273,Khun Nai Thai Cuisine,
274,Ray J's American Grill,
275,Mill Valley Kitchen,
276,Dave's Downtown,
277,Gluek's Restaurant & Bar,
278,La La Homemade Ice Cream,
279,Dipped & Debris,
280,Dong Yang Oriental Food,
281,Dancing Ganesha,
282,Loon Grocery,
283,Giordano's - Minneapolis/Uptown,
284,Coalition Restaurant,
285,Korea Restaurant,
286,Doolittles Woodfire Grill,
287,Maxwell's American Pub,
288,Ginger Hop,
289,Carma Coffee,
290,Caffrey's Deli & Subs,
291,Fletcher's Ice Cream,
292,Demi,
293,La Belle Crêpe,
294,Sidewalk Kitchen,
295,First Draft Taproom & Kitchen,
296,Dominguez Family Restaurant,
297,La Loma Tamales,
298,The Bad Waitress,
299,Szechuan Spice,
300,Tilt Pinball Bar,
301,Harry Singh's Original Caribbean Restaurant,
302,Peppers & Fries,
303,Ramen Kazama,
304,Sparrow Café,
305,Old Southern BBQ Smokehouse,
306,Tinto Kitchen,
307,Uncle Franky's,
308,Abi's Cafe,
309,JUN,
310,Q fanatic BBQ,
311,Athens Cafe,
312,Simpls,
313,Safari Restaurant,
314,Sammy's Avenue Eatery,
315,The Bulldog Uptown,
316,Vo's Vietnamese Restaurant,
317,Mac's Industrial Sports Bar & Grill,
318,Caspian Bistro & Marketplace,
319,Hoban Korean BBQ,
320,Bacon Social House,
321,Union Rooftop,
322,Fish Bowl Poke,
323,Gasthof Zur Gemutlichkeit,
324,Annie's Parlour,
325,Shoyu,
326,Eastside Eat + Drink,
327,Kowloon Restaurant,
328,Twin Cities 400 Tavern,
329,Casper's and Runyon's Nook,
330,Crooked Pint Ale House,
331,Mucci's,
332,Roat Osha,
333,Lush,
334,Fhima's,
335,All Square,
336,Bombay Palace,
337,Riverview Wine Bar,
338,Crepe & Spoon,
339,St Paul Bagelry,
340,Agra Culture,
341,Lowry Hill Meats,
342,Mission American Kitchen & Bar,
343,Xin Wong,
344,Naviya's Thai Brasserie,
345,Unideli,
346,Elsie's Restaurant Bar & Bowling Center,
347,A Slice of New York,
348,Trio Plant-based,
349,Grande Sunrise Mexican Restaurant,
350,Jefe Urban Hacienda,
351,Acme Comedy Club,
352,Frank From Philly & Andrea Pizza,
353,Jakeeno's Pizza & Pasta,
354,Green + The Grain,
355,City Works,
356,The Malt Shop,
357,Blue Door Pub St. Paul,
358,Tibet Kitchen Bar & Restaurant,
359,Black Sheep Pizza - Minneapolis,
360,Ted Cook's 19th Hole BBQ,Ted Cook's 19th Hole BBQ
361,The Melting Pot,
362,Bonchon - Uptown Minneapolis,
363,Tracy's Saloon,
364,Lu's Sandwich NE,
365,The Howe Daily Kitchen & Bar,
366,Gigi's Cafe,
367,Pancho Villa Mexican Restaurant,
368,Sip Coffeebar,
369,Red Dragon,
370,Arezzo Ristorante,
371,Mei Inn Chinese Foods,
372,Nico's Taco and Tequila Bar,
373,Ingebretsen's,
374,La Colonia Restaurant,
375,Grumpy's Bar,
376,Soberfish,
377,Que Viet,
378,McCormick & Schmick's Seafood & Steaks,
379,Giulia,
380,SotaRol,
381,Rusty Taco,
382,Taqueria Victor Hugo 2,
383,The Bird,
384,Tap Society,
385,The Naughty Greek,
386,Animales Barbeque,
387,Potter's Pasties & Pies,
388,Kinhdo Vietnamese Restaurant,
389,Egg and I,
390,Code Blu Coffee,
391,Cocina Latina,
392,Sikora's Polish Market & Deli,
393,Hamburguesas El Gordo,
394,CRAVE - LaSalle Plaza,
395,Morrissey's Irish Pub,
396,Tullibee,
397,The Bungalow Club,
398,Wasabi Fusion,
399,Tori 44,
400,International Cuisine Bar and Grill,
401,Segue Coffee,
402,Midori's Floating World Cafe,
403,Pineda Tacos,
404,The Lowry Café,
405,Black Coffee And Waffle Bar,
406,Soho Cafe,
407,Raag,
408,La Mesa,
409,The Red Sea,
410,Scott Ja-Mamas,
411,The Nicollet Diner,
412,Popol Vuh,
413,Rainbow Chinese Restaurant & Bar,
414,The Depot Tavern,
415,Yard House,
416,Book Club,
417,Stray Dog,
418,Pig Ate My Pizza,
419,Amore Uptown,
420,Chin Dian Kitchen,
421,Mesob Ethiopian Restaurant,
422,Pho Hoa Noodle Soup,
423,Mesa Pizza,
424,Buca di Beppo Italian Restaurant,
425,Town Hall Lanes,
426,Tasty Pizza - Hangar 45,
427,Dan Kelly's Pub,
428,Pad Ga Pow,
429,Colossal Café,
430,Lyons Pub,
431,The Loop - Minneapolis,
432,Dandelion Kitchen,
433,Marhaba Mediterranean Grill,
434,Bagu Sushi & Thai,
435,Monte Carlo,
436,Fat Nats Eggs,
437,Normandy Kitchen Cafe & Bar,
438,Patty Wagon,
439,Lake Harriet Pizza,
440,Zelino Deli,
441,Gardens of Salonica New Greek Café & Deli,
442,Tooties On Lowry,
443,Sprout Salad Company,
444,Cardinal Tavern,
445,The Matchbox Coffee Shop,
446,Prime Deli & Restaurant,
447,Cecils,
448,Rock Bottom Restaurant & Brewery,
449,Mill City Tavern,
450,Burrigato,
451,McKinney Roe,
452,La Loma Tamales,
453,Bona Vietnamese,
454,Monello Cucina,
455,Wok in the Park,
456,Med Box Grill,
457,Legendary Spice,
458,Andale Taqueria Y Mercado,
459,Smith & Porter Restaurant + Bar,
460,Sushi Tango Uptown,
461,Honey,
462,Kindee Thai Restaurant,
463,Memory Lanes & The Flashback Cafe,
464,Holy Land Midtown,
465,Mac's Fish & Chips,
466,R A MacSammy's Elbow Room,
467,Andrea Pizza,
468,Milda's Café,
469,Chicago's Taste Authority - Minneapolis,
470,Sorrento Pizza & Pasta,
471,Mayslack's,
472,Lucy's Market & Carryout,
473,O'Donovan's Irish Pub,
474,Marino's Deli,
475,Brim,
476,Camdi,
477,Bull's Horn Food and Drink,
478,Dong Hae Korean Grill and Sushi,
479,Punch Bowl Social Minneapolis,
480,Surdyk's Flights,
481,Sprout Salad Company,
482,Esker Grove,
483,Kieran's Kitchen Northeast,
484,Kiku Bistro,
485,Cajun Boiling,
486,Yangtze,
487,Parkway Pizza NE,
488,Mackenzie Pub,
489,The Brothers Deli,
490,The Loon Café,
491,JJ’S Poke,
492,Vitali's Cafe,
493,Simply Steve's Mobile Food Truck,
494,My Burger,
495,Edina Grill,
496,Bluestem Bar,
497,Dumpling,
498,Iron Door Pub,
499,Catrinas Cerveza & Grill,
500,Roti Modern Mediterranean,
501,Roti Modern Mediterranean,
502,Hot Indian Foods,
503,Ginellis Pizza,
504,Chatterbox Pub,
505,508 Bar & Restaurant,
506,Blue Door Pub Lyn-Lake,
507,Whitey's Old Town Saloon,
508,The Sheridan Room,
509,Pappy's Chicago Style,
510,Thai Cuisine Xpress,
511,Tony's Diner,
512,Linden Hills Co-op,
513,On's Thai Kitchen,
514,Snack Bar,
515,Whole Sum Kitchen,
516,Tailgate Sports Café,
517,Curran's Family Restaurant,
518,Saigon Uptown Restaurant,
519,8th Street Grill & Taphouse,
520,Apoy MPLS,
521,Dave The Pie Guy,
522,Fresh Wok,
523,Skyway Wok,
524,Zettas,
525,Walkin' Dog,
526,Sea Salt Eatery,
527,Milton's,
528,Black Forest Inn,
529,Bill's Garden Chinese Gourmet,
530,The SIX15 Room,
531,Spring Street Tavern,
532,The Cajun House,
533,Truce,
534,Leaning Tower of Pizza,
535,50's Grill,
536,Black Sea Restaurant,
537,Vegan East,
538,El Jefe Cocina & Bar,
539,Cahill Bistro,
540,Turtle Bread Company,
541,Coconut Thai,
542,Taqueria Los Ocampo - Global Market,
543,Marna's Cafe,
544,Papa's Cafe,
545,Tacos el Kevin,
546,Red's Savoy Pizza,
547,Al's Place,
548,The Neighborhood Café,
549,Mortimer's Bar & Restaurant,
550,Pog Mahone’s Pub & Grill,
551,Shaws Bar & Grill,
552,Broadway Bar & Pizza,
553,Cafeteria La Loma,
554,Punch Neapolitan Pizza - Highland Park,
555,Hibachi Buffet,
556,Manning's Restaurant,
557,Banana Blossom,
558,Kaiseki Furukawa,
559,The Original Pancake House,
560,Conexion Latte - Vino - Cafe,
561,Sol Taqueria,
562,Tony Jaros' River Garden,Tony Jaros River Garden
563,Seward Co-op Creamery Cafe,
564,Zoe's Cafe,
565,Salsa A La Salsa,
566,Best of India Indian Restaurant,
567,BANK Restaurant,
568,Reverie Cafe + Bar,
569,Burrito Loco Bar & Grill,
570,Stewart's,
571,The Naughty Greek,
572,Sabbai Cuisine,
573,Convention Grill,
574,Nong's Thai Cuisine,
575,El Norteño,
576,Teppanyaki Grill & Supreme Buffet,
577,Dusty's Bar,
578,El Nuevo Rodeo Restaurant,
579,C & G's Smoking Barbecue,
580,Valentino Cafe,Valentino Cafe
581,Greenfield Natural Kitchen,
582,Greek Grill,
583,Listo! Fresh Mexican Grill,
584,Adelita's Mexican Restaurant,
585,Pita King,
586,El Burrito Cubano,
587,Lao Sze Chuan,
588,BLVD Kitchen & Bar,
