,YelpID,Name,Latitude,Longitude,Address,Rating,Reviews
0,G9KdODINirmdSuYaBfBppA,Butcher & The Boar,44.974777,-93.279792,"1121 Hennepin Ave, Minneapolis 55403",4.5,1611
1,zv_XJAQr9D3PNR5eHYhC5w,Bar La Grassa,44.98954,-93.278594,"800 Washington Ave N, Minneapolis 55401",4.5,1246
2,6vaAze9Fxuco249L3BhEdQ,112 Eatery,44.98267,-93.2716,"112 N 3rd St, Minneapolis 55401",4.5,1163
3,5s2sT8ux7og5XfK-180r2g,George & The Dragon,44.912151,-93.290436,"813 W 50th St, Minneapolis 55419",4.5,884
4,5olLs-K-_k_rWrrNLjvy0w,Spoon and Stable,44.9854892917291,-93.2695363613423,"211 N 1st St, Minneapolis 55401",4.5,891
5,g7bbpP7x5KAc33i7pgOkLA,Hell's Kitchen,44.97460605855,-93.2726155438114,"80 S 9th St, Minneapolis 55402",4.0,2356
6,iH3FcZ4Xchx3s7fgIINaYg,Pizzeria Lola,44.9018519553182,-93.3186280826087,"5557 Xerxes Ave S, Minneapolis 55410",4.5,1016
7,MDPv2B2jwA1qLvQCXlEVww,Red Cow - Minneapolis,44.9835380660176,-93.2696064205751,"208 N 1st Ave, Minneapolis 55401",4.5,928
8,Dx52kVp9UBzI4LuL-J4TWA,Brasa Rotisserie,44.989479,-93.251249,"600 E Hennepin Ave, Minneapolis 55414",4.5,970
9,OrvTXpV0N29ucP8QmxDC0Q,Zelo,44.975065,-93.273613,"831 Nicollet Mall, Minneapolis 55402",4.5,928
10,l7mNzyV3pOZ3m87jRY6J7A,Hola Arepa,44.939423,-93.277406,"3501 Nicollet Ave, Minneapolis 55408",4.5,779
11,G7iXpVSRuXzCbD2daJ_JYQ,Surly Brewing,44.9732287,-93.2097663,"520 Malcolm Ave SE, Minneapolis 55414",4.0,1110
12,ErvVFzAYVArZS7gcWgY0rg,Matt's Bar,44.9394683837891,-93.247428894043,"3500 Cedar Ave S, Minneapolis 55407",4.0,1535
13,ZucUm6bBfhe0bHW4oyO-Dg,Chimborazo,45.0202859237582,-93.2470212131738,"2851 Central Ave, Minneapolis 55418",4.5,598
14,51E_-4s1wheqka5xtGAaNw,Martina,44.9243,-93.31523,"4312 S Upton Ave, Minneapolis 55410",4.5,470
15,5Y2nekkwRrNMMSx3b-2EhA,Young Joni,45.001101,-93.266682,"165 13th Ave NE, Minneapolis 55413",4.5,659
